id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
9|1|902|Lainez|Supermercado|12 DE SEPTIEMBRE Y LAINEZ|0|-38.9562|-68.0664|||8300|NEUQUEN|AR-Q|09:00 a 21:00|09:00 a 21:00|09:00 a 21:00|09:00 a 21:00|09:00 a 21:00|09:00 a 21:00|08:00 a 22:00
9|1|910|Vea Roca I|Supermercado|Ruta 22 y Gobernador Viterbori|0|-39.0451|-67.5778|||8332|GENERAL ROCA|AR-R|09:00 a 21:30|09:00 a 21:30|09:00 a 21:30|09:00 a 21:30|09:00 a 21:30|09:00 a 21:30|08:00 a 22:00
9|1|912|Junin SM 912|Supermercado|ITUZAINGO|43|-34.5832|-60.9565|||6000|JUNIN|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:30 a 13:30 y 17:00 a 21:00
9|1|914|Malargüe|Supermercado|Calle Av.Roca s/n entre Villa del Milagro y Calle|0|-35.4752|-69.5916|||5613|MALARGUE|AR-M|09:00 a 13:00 y 17:00 a 21:00|09:00 a 13:00 y 17:00 a 21:00|09:00 a 13:00 y 17:00 a 21:00|09:00 a 13:00 y 17:00 a 21:00|09:00 a 13:00 y 17:00 a 21:00|09:00 a 13:00 y 17:00 a 21:00|08:00 a 22:00
9|2|916|SM 916 Gorostiaga|Supermercado|GOROSTIAGA JOSE BENJAMIN.|1636|-34.5655|-58.4368|||1426|CIUDAD AUTONOMA BUENOS AIRES|AR-C|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 22:00
9|1|944|Tapiales|Supermercado|Av. Velez Sarfield|567|-34.6926|-58.5016|||1770|TAPIALES|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:00 a 22:00
9|1|983|Miramar|Supermercado|Calle 36|109|-38.2663|-57.8432|||7607|MIRAMAR|AR-B|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|2|61|Tortuguitas|Supermercado|Av. Patricias Argentinas|851|-34.4463|-58.745|||1667|TORTUGUITAS|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|8:30 a 21:00|08:00 a 22:00
9|1|73|Mate de Luna|Supermercado|AVENIDA MATE DE LUNA FERNANDO|2852|-26.8234|-65.2404|||4000|SAN MIGUEL DE TUCUMAN|AR-T|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|1|8|Chivilcoy|Supermercado|Gral. Rodriguez y Pellegrini|0|-34.894|-60.0175|||6620|CHIVILCOY|AR-B|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|08:30 a 21:00|09:00 a 13:00 y 17:00 a 21:00
